epoch,iso,id_hex,extended,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1756483008.194397,2025-08-29T16:56:48,00000780,0,2,71,213,,,,,,
1756483008.194540,2025-08-29T16:56:48,00000167,0,3,127,48,0,,,,,
1756483008.194672,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.194888,2025-08-29T16:56:48,00000040,0,6,10,0,2,3,0,0,,
1756483008.195003,2025-08-29T16:56:48,000003B6,0,1,0,,,,,,,
1756483008.195138,2025-08-29T16:56:48,000003B5,0,2,0,0,,,,,,
1756483008.195311,2025-08-29T16:56:48,000003B8,0,4,104,3,0,0,,,,
1756483008.195552,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.195801,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.195961,2025-08-29T16:56:48,000003B9,0,4,104,3,0,0,,,,
1756483008.196088,2025-08-29T16:56:48,00000111,0,2,0,0,,,,,,
1756483008.196223,2025-08-29T16:56:48,00000110,0,1,0,,,,,,,
1756483008.196397,2025-08-29T16:56:48,00000030,0,4,0,0,192,104,,,,
1756483008.198284,2025-08-29T16:56:48,0000000A,1,8,0,0,255,252,0,0,1,245
1756483008.198570,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,54,255,255,254,154
1756483008.198849,2025-08-29T16:56:48,0000100A,1,8,1,10,0,244,0,0,0,0
1756483008.202398,2025-08-29T16:56:48,00000014,1,8,0,0,255,252,0,0,1,239
1756483008.202689,2025-08-29T16:56:48,00000E14,1,8,255,255,254,67,0,0,0,21
1756483008.202975,2025-08-29T16:56:48,00001014,1,8,1,5,0,226,0,0,0,0
1756483008.203255,2025-08-29T16:56:48,00003A14,1,8,5,146,12,152,5,146,0,0
1756483008.203505,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.203704,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.203928,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
